external_id,title,sku,price,compare_at_price,currency,seller_id,seller_name,vendor,product_type,category_handles,tags,description_html,image_urls,source_url,cost,inventory,lead_time_days
csv-beauty-001,Vitamin C Brightening Serum,SKU-BEA-001,34.99,49.99,USD,seller-kbeauty,K-Beauty Co,OneClick Hub,Serum,beauty-grooming|trending-now,skincare|vitamin-c,<p>Daily brightening serum with 15% vitamin C.</p>,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,https://example.com/products/vitamin-c-serum,18.50,120,5
csv-tech-001,MagSafe Wireless Charging Stand,SKU-TEC-001,29.99,39.99,USD,seller-gadgethub,GadgetHub,OneClick Hub,Accessories,technology|trending-now,phone|charging,<p>15W fast wireless charger with MagSafe alignment.</p>,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,https://example.com/products/magsafe-stand,14.00,200,7
csv-gaming-001,RGB Mechanical Gaming Keyboard,SKU-GAM-001,79.99,99.99,USD,seller-gamegear,GameGear,OneClick Hub,Keyboard,gaming|technology,gaming|rgb,<p>Hot-swappable switches with per-key RGB lighting.</p>,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,https://example.com/products/rgb-keyboard,42.00,80,10
csv-baby-001,Organic Cotton Swaddle Set (3-Pack),SKU-BAB-001,44.99,54.99,USD,seller-nurture,Nurture Baby,OneClick Hub,Baby,baby|trending-now,newborn|organic,<p>Breathable GOTS-certified cotton swaddles.</p>,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,https://example.com/products/swaddle-set,22.00,150,6
csv-kids-001,STEM Building Blocks Set (120 pcs),SKU-KID-001,39.99,49.99,USD,seller-playlearn,PlayLearn,OneClick Hub,Toys,kids|trending-now,educational|stem,<p>Creative building set for ages 4+.</p>,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,https://example.com/products/building-blocks,19.50,100,8
csv-apparel-001,Oversized Linen Blend Shirt,SKU-APP-001,59.99,79.99,USD,seller-threads,Threads Studio,OneClick Hub,Shirt,apparel|women,linen|summer,<p>Relaxed fit linen-cotton blend shirt.</p>,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,https://example.com/products/linen-shirt,28.00,90,12
csv-underwear-001,Seamless Cotton Briefs (5-Pack),SKU-UND-001,32.99,42.99,USD,seller-comfortbase,ComfortBase,OneClick Hub,Underwear,underwear|apparel,basics|cotton,<p>Tag-free seamless briefs for everyday comfort.</p>,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,https://example.com/products/cotton-briefs,14.00,200,5
csv-lingerie-001,Lace Bodysuit,SKU-LIN-001,48.99,64.99,USD,seller-intimates,Intimates Co,OneClick Hub,Lingerie,lingerie-intimates|underwear,lingerie|lace,<p>Delicate lace bodysuit — fashion intimates.</p>,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,https://example.com/products/lace-bodysuit,22.00,40,14
csv-home-001,Aesthetic Storage Baskets (Set of 3),SKU-HOM-001,36.99,46.99,USD,seller-homestyle,HomeStyle,OneClick Hub,Home,home-living|trending-now,organization|decor,<p>Woven storage baskets for shelves and closets.</p>,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,https://example.com/products/storage-baskets,17.00,110,7
csv-fitness-001,Resistance Bands Pro Set,SKU-FIT-001,24.99,34.99,USD,seller-fitpro,FitPro,OneClick Hub,Fitness,fitness-wellness|trending-now,workout|bands,<p>Five resistance levels with door anchor and handles.</p>,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,https://example.com/products/resistance-bands,11.00,180,5
